:START_ID,:END_ID,:TYPE
郭襄,郭靖,父
黄蓉,郭靖,配偶
黄药师,黄蓉,父
郭襄,黄蓉,母
郭靖,黄蓉,配偶
杨康,杨过,子女
小龙女,杨过,配偶
张三丰,杨过,师傅
杨过,小龙女,配偶
杨过,小龙女,师傅
梅超风,黄药师,师傅
杨过,黄药师,师傅
黄蓉,黄药师,父
黄蓉,黄药师,师傅
张无忌,张三丰,师傅
黄蓉,郭襄,子女
郭靖,郭襄,子女
杨过,洪七公,师傅
黄蓉,洪七公,师傅
郭靖,洪七公,师傅
杨过,欧阳锋,师傅
杨过,杨康,父
杨康,梅超风,师傅
黄药师,射雕英雄传,所在作品
欧阳锋,射雕英雄传,所在作品
梅超风,射雕英雄传,所在作品
杨康,射雕英雄传,所在作品
洪七公,射雕英雄传,所在作品
黄蓉,射雕英雄传,所在作品
郭靖,射雕英雄传,所在作品
郭襄,神雕侠侣,所在作品
洪七公,神雕侠侣,所在作品
黄药师,神雕侠侣,所在作品
欧阳锋,神雕侠侣,所在作品
张三丰,神雕侠侣,所在作品
小龙女,神雕侠侣,所在作品
杨过,神雕侠侣,所在作品
黄蓉,神雕侠侣,所在作品
郭靖,神雕侠侣,所在作品
周芷若,倚天屠龙记,所在作品
张无忌,倚天屠龙记,所在作品
张三丰,倚天屠龙记,所在作品
郭襄,倚天屠龙记,所在作品
洪七公,九阴真经,武功
周芷若,九阴真经,武功
杨过,九阴真经,武功
小龙女,九阴真经,武功
黄蓉,九阴真经,武功
郭靖,九阴真经,武功
洪七公,降龙十八掌,武功
郭靖,降龙十八掌,武功
小龙女,左右互搏,武功
郭靖,左右互搏,武功
黄蓉,兰花拂穴手,武功
黄蓉,桃华落英掌,武功
黄蓉,玉萧剑法,武功
杨过,打狗棒法,武功
洪七公,打狗棒法,武功
黄蓉,打狗棒法,武功
洪七公,逍遥游,武功
黄蓉,逍遥游,武功
杨过,黯然销魂掌,武功
小龙女,玉女心经,武功
杨过,玉女心经,武功
杨过,蛤蟆功,武功
欧阳锋,蛤蟆功,武功
黄药师,弹指神通,武功
杨过,弹指神通,武功
杨过,玄铁剑法,武功
黄药师,碧波掌法,武功
黄药师,碧海潮生曲,武功
张三丰,九阳神功,武功
张无忌,九阳神功,武功
张无忌,乾坤大挪移,武功
张无忌,太极拳,武功
张三丰,太极拳,武功
张无忌,圣火令,武功
周芷若,峨眉剑法,武功
周芷若,九阴白骨爪,武功
梅超风,九阴白骨爪,武功
杨康,九阴白骨爪,武功
周芷若,峨嵋九阳功,武功
郭襄,峨嵋九阳功,武功
郭襄,越女剑法,武功
杨康,全真剑法,武功
黄药师,桃花岛,所在门派
梅超风,桃花岛,所在门派
黄蓉,桃花岛,所在门派
小龙女,古墓派,所在门派
张无忌,明教,所在门派
张三丰,武当派,所在门派
郭襄,峨眉派,所在门派
周芷若,峨眉派,所在门派
洪七公,丐帮,所在门派
郭靖,哲别,师傅
郭靖,江南七怪,师傅
张三丰,觉远,师傅
周芷若,灭绝师太,师傅
杨康,丘处机,师傅
黄蓉,郭芙,母
郭靖,郭芙,父
黄蓉,郭破虏,母
郭靖,郭破虏,父
欧阳锋,欧阳克,子女
郭靖,郭啸天,父
张无忌,张翠山,父
杨康,杨铁心,父
郭靖,李萍,母
黄蓉,冯蘅,母
杨康,穆念慈,配偶
杨过,穆念慈,母
张无忌,殷素素,母
杨康,包惜弱,母
黄药师,冯衡,配偶
梅超风,陈玄风,配偶
